USER,DATE,STAR,LIKE,TITLE,REVIEW
맹곶감,2023-09-11 01:58:09-07:00,5,0,가까운병원,가깝고 맏음이 다는 병원이면 좋죠.
조아아아러앗,2023-09-03 21:41:40-07:00,1,0,최악입니다,"어플에선 업데이트 하라고 넘어가고
앱스토어에서는 최신앱이라고 하고
어떻게 사용해야하나여????"
삭제해줘ᄋᆞㄴ,2023-08-31 23:29:43-07:00,1,0,이거 친구 코드 입력 하려는데 왜,입력시간이 지났다고 뜹니까 두명이나 다운받고 코드입력하는데 이거 문제 있는거 아니예요???
Poouddddd,2023-08-27 02:21:03-07:00,1,0,약국에서는 처방접수를 했는데 저한테는 30분이 지나도 뜨지가 않아서,약국에서는 조제 접수를 했다는데 어플에는 30분째 뜨지가 않아 조제 진행을 할 수가 없어 약국과 전화만 4통하규 결국 약은 조제신청 하지도 못했어요. 이전에는 조제약 배송이 돼서 당연히 지금도 되는건 줄 알고 이용을 한건데 직접 조제를 받으러 가야하는 거였으면  최소한 안내라도 해주셨으면 해요. 직접 받으러 가야하는 거였다면 굳이 이용할 이유가 없었거든요
Oversky76,2023-08-15 23:19:58-07:00,1,0,이상하고 별루임,"진료 받는 병원에서 온 카톡에, 이 앱을 깔면 대기자 현황을 볼 수 있다고 해서 깔았는데, 몽땅 헛소리임
대기중인 병원 검색해서 들어가도 아무 현황없다고 나오고, 접수하지도 않은 모르는 한방병원에 접수되었다고 나오고, 그냥 온갖병원 광고하는 앱에 지나지 않음.
병원서 기다리는 사람들 다들 심기가 편할 수가 없는데, 그런 사람들 상대로 낚시질 하는 악성앱이라고 밖에 표현할 수가 없다"
지나가던 전정국 팬,2023-08-14 17:32:22-07:00,1,0,아픈사람 이용하니까 좋음?,그냥 다운로드수 늘리기에 급급한 최악의어플
lake1447883,2023-07-14 17:47:24-07:00,1,0,지도만 열면 도저히 느려서 못써먹겠네요.,병원 선택할때 지도화면만 나오면 너무 버벅거려요. 병원을 선택할수는 있어야 쓸수 있지...
하처리가,2023-07-10 02:08:38-07:00,1,0,이벤트 알림 거부 기능 만들어 주세요,"마케팅 거부해뒀더니 투표 / 이벤트 알림으로 자꾸 푸쉬알림 오네?
앱 자체에서 거부하는 기능을 만들어야지
알림 안 보려면 폰에서 알림 해제를 하라니

개선해주세요"
13미니,2023-07-08 00:55:05-07:00,1,0,과장된 알림,치매약이 탈모약으로 잘못 포장된 건 큰 일이지만 알림으로 [긴급] 당신이 처방받은 약은 치매약입니다 라고 하는건 조금 과장된 낚시성 알림이라고 생각합니다. 저는 굿닥을 설치만 하고 이용한 적이 없는데 저런 알림이 와서 가슴이 철렁했네요. 사실을 알리는 건 좋지만 사실과 별개로 마치 제가 처방받은 약이 잘못 된 것처럼 클릭을 유도하는 알림은 의료 서비스를 제공하는 앱으로서 적절치 않는 것 같습니다
빱뼤ㅃ,2023-07-07 23:22:27-07:00,1,0,(긴급)회원님이 방금 처방받은 약은 치매약입니다,"앞에 (광고) 이 표시도 아니고 (긴급)표시로 이런 팝업 알림을 왜 보내나요..?
알림센터에서 보고 어이가 없어서 뭔가 눌러봤더니 그냥 앱 접속시키는 낚시성 광고; 앱 지웁니다 결국"
리뷰애사용할별명,2023-05-30 18:59:32-07:00,3,0,말도 안되는 발열과 버벅임,"굿닥 너무 요긴하고 좋은 앱이에요
그런데 아이폰14 pro사용중인데 굿닥만 켜면 말도 안되게 발열이 생기고 버벅여서 200자 증상 입력하기도 힘들어요
굿닥끄고 다른앱 추가설치해서 사용해도 문제없는데 이상하네요. 자주 이용하고 싶은데, 최신폰에서도 문제없이 동작하도록 확인해주세요ㅠ"
soonyeoli,2023-05-30 00:46:39-07:00,4,0,사진을 넣을 수 없어서 아쉬워요,"사진없이 글로만 작성하다보니 나중에 다시 찾고싶을 때 찾기가 어렵더라구요
사진 첨부할 수 있으면 좋을 것 같아요"
joeydoesntshareafood,2023-05-14 20:52:27-07:00,1,0,개선 바랍니다,진료비 결제 시 결제수단을 반드시 등록해야 하는 이유가 뭔가요? 평소에 쓰지도 않을 ePay니 카카오페이를 강제로 등록해야 하는게 이해가 되지 않아요.
dogfurring,2023-04-17 19:32:00-07:00,5,0,배송 일주일 넘게 걸림,"배송이 정말 많이 느리네요. 지난주 화요일 오전에 진료받았는데 지금 화요일인데 오늘도 올 생각 없는거같네요. 2-3 영업일은 무슨 무조건 주말 끼게 설계하고...
증상 심해져서 눈까지 간지럽고 코피도 터졌네요. 다신 안 씁니다."
😆😁😥🍶😥🍵🍵,2023-04-12 19:17:58-07:00,1,0,불편해요,실시간 대기 현황은 앱 설치해야만 보는 것도 불편한데 앱 설치하고 들어갔는데도 안나오네요
사포엑스라,2023-04-07 19:43:42-07:00,1,0,어플 진짜 거지 같네요,"어플에 뜬 약국이랑 실제 가본 약국 전혀 다르고
약국 찾다 찾다 못찾아서 굿닥 추천약국 갔더니
거기는 이미 다른 곳에서 조제 했다고 떠서 못준다고

처방전 보낸 적도 없는 곳에서 조제를 왜 했는지도 모르겠고 조제했단 약국에 전화해보니 자기넨 조제한 적 없다 그러고 결국 처방전비 날리고 약국 4군데 돌면서 시간 낭비하고 기분만 잡쳤네요"
Sungmin Sungjin,2023-04-04 08:19:24-07:00,5,0,예약 감사합니다,덕분에 전화 울렁증 극복했습니다
